tau,s_tmp,cash,delta,pv,r_for,q,PL,,
0_1-th Autocalled,297.332,1.0186,0,1.023,,,-0.00439844,0.00760156,1
0_3-th Autocalled,298.299,1.06949,0,1.069,,,0.000488964,0.012488964,1
0_3-th Autocalled,293.993,1.06996,0,1.069,,,0.000961298,0.012961298,1
0_1-th Autocalled,298.236,1.01937,0,1.023,,,-0.00363087,0.00836913,1
0_6-th Autocalled,194.91,1.18447,0,1.138,,,0.0464665,0.0584665,1
0_1-th Autocalled,288.468,1.03036,0,1.023,,,0.00736209,0.01936209,1
0_1-th Autocalled,283.312,-0.512008,0.00540837,1.023,,,-0.00275192,0.00924808,1
0_1-th Autocalled,296.617,1.02231,0,1.023,,,-0.000685923,0.011314077,1
0_1-th Autocalled,326.219,1.0236,0,1.023,,,0.00059797,0.01259797,1
0_1-th Autocalled,334.403,1.0227,0,1.023,,,-0.000299087,0.011700913,1
0_1-th Autocalled,289.01,1.03242,0,1.023,,,0.00942055,0.02142055,1
0_1-th Autocalled,298.364,1.02387,0,1.023,,,0.000865303,0.012865303,1
0_1-th Autocalled,284.394,-0.523629,0.00540837,1.023,,,-0.00852179,0.00347821,1
0_1-th Autocalled,305.039,1.02225,0,1.023,,,-0.000752105,0.011247895,1
0_1-th Autocalled,300.542,1.02351,0,1.023,,,0.000511597,0.012511597,1
1_6-th Autocalled,168.276,-1.11E-05,0.00336451,0.566168,,,-1.11E-05,0.011988939,1
0_1-th Autocalled,301.267,1.02239,0,1.023,,,-0.000613276,0.011386724,1
0_1-th Autocalled,321.005,1.01997,0,1.023,,,-0.00302757,0.00897243,1
1_6-th Autocalled,229.44,0.00785694,0.00336451,0.771955,,,0.00785694,0.01985694,1
0_1-th Autocalled,283.379,-0.512003,0.00540837,1.023,,,-0.00238688,0.00961312,1
0_1-th Autocalled,295.033,1.01931,0,1.023,,,-0.00368667,0.00831333,1
0_1-th Autocalled,313.497,1.02213,0,1.023,,,-0.000874755,0.011125245,1
0_1-th Autocalled,407.59,1.02446,0,1.023,,,0.00145524,0.01345524,1
0_1-th Autocalled,304.706,1.02699,0,1.023,,,0.00399004,0.01599004,1
0_3-th Autocalled,270.614,1.05908,0,1.069,,,-0.00992168,0.00207832,1
1_6-th Autocalled,161.707,-0.00235449,0.00336451,0.544066,,,-0.00235449,0.00964551,1
0_6-th Autocalled,202.582,1.13915,0,1.138,,,0.00115361,0.01315361,1
0_2-th Autocalled,295.196,1.05544,0,1.046,,,0.00943743,0.02143743,1
0_3-th Autocalled,319.786,1.06245,0,1.069,,,-0.00655257,0.00544743,1
0_6-th Autocalled,251.604,1.15352,0,1.138,,,0.0155228,0.0275228,1
0_1-th Autocalled,319.082,1.01979,0,1.023,,,-0.00320908,0.00879092,1
0_6-th Autocalled,180.663,0.815505,0,1.138,,,-0.322495,-0.310495,0
0_1-th Autocalled,317.075,1.02983,0,1.023,,,0.00682775,0.01882775,1
0_1-th Autocalled,317.29,1.02523,0,1.023,,,0.00222793,0.01422793,1
0_1-th Autocalled,284.8,1.02075,0,1.023,,,-0.00225403,0.00974597,1
0_1-th Autocalled,307.366,1.02243,0,1.023,,,-0.000572194,0.011427806,1
0_1-th Autocalled,300.207,1.02058,0,1.023,,,-0.0024228,0.0095772,1
0_1-th Autocalled,282.66,-0.729106,0.00615657,1.023,,,-0.0118927,0.0001073,1
0_4-th Autocalled,306.371,1.09653,0,1.092,,,0.00453289,0.01653289,1
0_1-th Autocalled,341.165,1.02352,0,1.023,,,0.000515328,0.012515328,1
0_1-th Autocalled,291.461,1.02368,0,1.023,,,0.00067913,0.01267913,1
0_1-th Autocalled,366.676,1.02365,0,1.023,,,0.000650807,0.012650807,1
0_1-th Autocalled,300.474,1.02005,0,1.023,,,-0.00295393,0.00904607,1
0_1-th Autocalled,320.813,1.02267,0,1.023,,,-0.000326557,0.011673443,1
0_1-th Autocalled,338.292,1.02177,0,1.023,,,-0.00122933,0.01077067,1
0_1-th Autocalled,303.843,1.01999,0,1.023,,,-0.0030137,0.0089863,1
1_6-th Autocalled,157.506,-0.0163501,0.00336451,0.529931,,,-0.0163501,-0.0043501,0
0_1-th Autocalled,309.325,1.02326,0,1.023,,,0.000260171,0.012260171,1
0_1-th Autocalled,326.908,1.02289,0,1.023,,,-0.000108992,0.011891008,1
0_6-th Autocalled,189.723,1.21858,0,1.138,,,0.0805812,0.0925812,1
0_2-th Autocalled,298.431,1.03818,0,1.046,,,-0.00782064,0.00417936,1
0_1-th Autocalled,321.974,1.02477,0,1.023,,,0.00177333,0.01377333,1
0_1-th Autocalled,292.17,1.01802,0,1.023,,,-0.00498477,0.00701523,1
0_1-th Autocalled,291.935,1.01803,0,1.023,,,-0.00497386,0.00702614,1
0_2-th Autocalled,316.594,1.04318,0,1.046,,,-0.00282111,0.00917889,1
0_1-th Autocalled,319.672,1.02355,0,1.023,,,0.000545936,0.012545936,1
0_3-th Autocalled,320.144,1.07033,0,1.069,,,0.00132775,0.01332775,1
0_1-th Autocalled,283.886,-0.525888,0.00540837,1.023,,,-0.013526,-0.001526,0
0_1-th Autocalled,345.494,1.02371,0,1.023,,,0.000714984,0.012714984,1
0_1-th Autocalled,318.046,1.02262,0,1.023,,,-0.000381375,0.011618625,1
0_1-th Autocalled,306.616,1.02163,0,1.023,,,-0.00137424,0.01062576,1
1_6-th Autocalled,223.704,0.00500501,0.00336451,0.752653,,,0.00500501,0.01700501,1
0_3-th Autocalled,294.485,1.05713,0,1.069,,,-0.0118745,0.0001255,1
0_1-th Autocalled,318.164,1.02377,0,1.023,,,0.000771245,0.012771245,1
0_4-th Autocalled,292.024,1.09243,0,1.092,,,0.000430308,0.012430308,1
0_1-th Autocalled,315.288,1.02037,0,1.023,,,-0.00263118,0.00936882,1
0_1-th Autocalled,313.01,1.02175,0,1.023,,,-0.00124711,0.01075289,1
0_2-th Autocalled,295.271,1.04271,0,1.046,,,-0.00329478,0.00870522,1
0_1-th Autocalled,305.373,1.02344,0,1.023,,,0.000441579,0.012441579,1
0_2-th Autocalled,291.047,1.04574,0,1.046,,,-0.000259374,0.011740626,1
0_1-th Autocalled,333.371,1.02318,0,1.023,,,0.000183568,0.012183568,1
0_1-th Autocalled,299.644,1.02618,0,1.023,,,0.00317681,0.01517681,1
0_1-th Autocalled,338.364,1.02133,0,1.023,,,-0.00166816,0.01033184,1
0_1-th Autocalled,334.154,1.02208,0,1.023,,,-0.000917462,0.011082538,1
0_1-th Autocalled,310.189,1.02404,0,1.023,,,0.00104436,0.01304436,1
1_6-th Autocalled,174.026,-0.00117401,0.00336451,0.585512,,,-0.00117401,0.01082599,1
1_6-th Autocalled,218.817,0.00394884,0.00336451,0.736213,,,0.00394884,0.01594884,1
0_2-th Autocalled,297.098,1.04773,0,1.046,,,0.00172622,0.01372622,1
0_1-th Autocalled,292.237,1.02106,0,1.023,,,-0.00194345,0.01005655,1
1_6-th Autocalled,219.733,-0.00700892,0.00336451,0.739293,,,-0.00700892,0.00499108,1
0_1-th Autocalled,365.05,1.02413,0,1.023,,,0.00113181,0.01313181,1
0_1-th Autocalled,307.226,1.02276,0,1.023,,,-0.000237259,0.011762741,1
0_1-th Autocalled,299.866,1.02609,0,1.023,,,0.00308867,0.01508867,1
0_5-th Autocalled,259.564,1.10935,0,1.115,,,-0.00565106,0.00634894,1
0_1-th Autocalled,297.925,1.0231,0,1.023,,,9.51E-05,0.012095064,1
0_1-th Autocalled,303.403,1.02268,0,1.023,,,-0.000324898,0.011675102,1
0_1-th Autocalled,283.038,-0.729981,0.00615657,1.023,,,-0.0104393,0.0015607,1
0_1-th Autocalled,289.245,1.0225,0,1.023,,,-0.000501156,0.011498844,1
0_1-th Autocalled,303.943,1.02885,0,1.023,,,0.00585106,0.01785106,1
0_4-th Autocalled,272.628,1.09599,0,1.092,,,0.00398763,0.01598763,1
0_1-th Autocalled,304.293,1.01753,0,1.023,,,-0.00547273,0.00652727,1
0_1-th Autocalled,288.733,1.0234,0,1.023,,,0.000395947,0.012395947,1
0_1-th Autocalled,382.52,1.02359,0,1.023,,,0.000591227,0.012591227,1
0_1-th Autocalled,291.637,1.02681,0,1.023,,,0.00381471,0.01581471,1
0_1-th Autocalled,314.917,1.02115,0,1.023,,,-0.00185231,0.01014769,1
0_6-th Autocalled,270.331,1.13117,0,1.138,,,-0.00682786,0.00517214,1
0_1-th Autocalled,333.35,1.02182,0,1.023,,,-0.00118035,0.01081965,1
0_5-th Autocalled,253.44,2.17672,-0.00419031,1.115,,,-0.000273242,0.011726758,1
0_1-th Autocalled,299.67,1.02349,0,1.023,,,0.000489894,0.012489894,1
0_1-th Autocalled,300.411,1.02422,0,1.023,,,0.00121937,0.01321937,1
0_2-th Autocalled,305.104,1.03998,0,1.046,,,-0.00602436,0.00597564,1
1_6-th Autocalled,120.161,0.00172254,0.00336451,0.404284,,,0.00172254,0.01372254,1
0_1-th Autocalled,302.921,1.02196,0,1.023,,,-0.00103953,0.01096047,1
0_1-th Autocalled,308.83,1.0217,0,1.023,,,-0.00130157,0.01069843,1
0_1-th Autocalled,285.131,1.0201,0,1.023,,,-0.00289547,0.00910453,1
0_2-th Autocalled,301.193,1.04715,0,1.046,,,0.00115283,0.01315283,1
1_6-th Autocalled,140.429,0.000164322,0.00336451,0.472474,,,0.000164322,0.012164322,1
0_1-th Autocalled,331.848,1.02318,0,1.023,,,0.00017777,0.01217777,1
0_3-th Autocalled,269.116,0.390091,0.00245422,1.069,,,-0.01844,-0.00644,0
0_1-th Autocalled,301.254,1.02078,0,1.023,,,-0.00221768,0.00978232,1
0_2-th Autocalled,310.124,1.06155,0,1.046,,,0.015553,0.027553,1
0_1-th Autocalled,288.817,1.02066,0,1.023,,,-0.00233837,0.00966163,1
0_1-th Autocalled,313.488,1.0204,0,1.023,,,-0.00259886,0.00940114,1
0_1-th Autocalled,284.248,-0.525171,0.00540837,1.023,,,-0.0108552,0.0011448,1
0_2-th Autocalled,325.132,1.04617,0,1.046,,,0.000169165,0.012169165,1
0_1-th Autocalled,307.83,1.02456,0,1.023,,,0.00155511,0.01355511,1
0_1-th Autocalled,304.691,1.0236,0,1.023,,,0.000599479,0.012599479,1
0_1-th Autocalled,334.388,1.02467,0,1.023,,,0.00166892,0.01366892,1
0_1-th Autocalled,309.898,1.02174,0,1.023,,,-0.00126257,0.01073743,1
0_1-th Autocalled,284.794,1.01595,0,1.023,,,-0.00704544,0.00495456,1
0_1-th Autocalled,318.377,1.02286,0,1.023,,,-0.000144642,0.011855358,1
0_1-th Autocalled,340.506,1.02361,0,1.023,,,0.000606286,0.012606286,1
0_1-th Autocalled,287.658,1.02184,0,1.023,,,-0.00116456,0.01083544,1
0_1-th Autocalled,291.376,1.02197,0,1.023,,,-0.00103222,0.01096778,1
0_1-th Autocalled,301.09,1.0239,0,1.023,,,0.000897975,0.012897975,1
1_6-th Autocalled,133.429,-0.00613443,0.00336451,0.448924,,,-0.00613443,0.00586557,1
0_1-th Autocalled,296.558,1.0213,0,1.023,,,-0.00169562,0.01030438,1
0_1-th Autocalled,320.932,1.02134,0,1.023,,,-0.00166275,0.01033725,1
0_1-th Autocalled,319.354,1.02188,0,1.023,,,-0.00112302,0.01087698,1
0_1-th Autocalled,294.034,1.02331,0,1.023,,,0.000311356,0.012311356,1
0_1-th Autocalled,302.855,1.02294,0,1.023,,,-5.89E-05,0.0119411,1
0_1-th Autocalled,321.828,1.02151,0,1.023,,,-0.00149127,0.01050873,1
0_1-th Autocalled,311.386,1.02487,0,1.023,,,0.00187035,0.01387035,1
0_2-th Autocalled,292.858,1.04619,0,1.046,,,0.000187172,0.012187172,1
0_1-th Autocalled,378.076,1.02427,0,1.023,,,0.00127088,0.01327088,1
0_1-th Autocalled,288.118,1.03295,0,1.023,,,0.00995382,0.02195382,1
1_6-th Autocalled,199.544,0.0107287,0.00336451,0.671368,,,0.0107287,0.0227287,1
0_1-th Autocalled,289.258,1.02945,0,1.023,,,0.00644759,0.01844759,1
0_1-th Autocalled,300.048,1.02335,0,1.023,,,0.000354387,0.012354387,1
0_1-th Autocalled,364.497,1.02377,0,1.023,,,0.000771708,0.012771708,1
0_2-th Autocalled,299.194,1.04657,0,1.046,,,0.000568669,0.012568669,1
1_6-th Autocalled,211.053,-0.0208603,0.00336451,0.710091,,,-0.0208603,-0.0088603,0
0_1-th Autocalled,300.894,1.0261,0,1.023,,,0.00310018,0.01510018,1
0_6-th Autocalled,240.009,1.14211,0,1.138,,,0.00410902,0.01610902,1
0_1-th Autocalled,287.891,1.02789,0,1.023,,,0.0048872,0.0168872,1
0_1-th Autocalled,291.346,1.02836,0,1.023,,,0.00535533,0.01735533,1
0_1-th Autocalled,315.152,1.0247,0,1.023,,,0.00170168,0.01370168,1
0_1-th Autocalled,306.083,1.02845,0,1.023,,,0.00545208,0.01745208,1
0_1-th Autocalled,294.396,1.02305,0,1.023,,,5.07E-05,0.012050733,1
0_1-th Autocalled,287.127,1.02193,0,1.023,,,-0.00107118,0.01092882,1
0_1-th Autocalled,361.352,1.02427,0,1.023,,,0.00126834,0.01326834,1
0_6-th Autocalled,220.134,1.15148,0,1.138,,,0.0134836,0.0254836,1
0_1-th Autocalled,290.345,1.02878,0,1.023,,,0.00578261,0.01778261,1
0_1-th Autocalled,299.926,1.02047,0,1.023,,,-0.00253324,0.00946676,1
0_5-th Autocalled,301.168,1.12065,0,1.115,,,0.00564593,0.01764593,1
0_3-th Autocalled,281.196,1.0641,0,1.069,,,-0.0049,0.0071,1
1_4-th Autocalled,285.607,1.08334,0,1.092,,,-0.00866049,0.00333951,1
