tau,s_tmp,cash,delta,pv,r_for,q,PL
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_6-th Autocalled,222.115,1.14093,0,1.138,,,0.00293073
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,321.366,1.01916,0,1.023,,,-0.00384079
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_6-th Autocalled,227.464,1.13367,0,1.138,,,-0.00433004
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_2-th Autocalled,299.818,1.04575,0,1.046,,,-0.000249494
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,303.839,1.02,0,1.023,,,-0.00299705
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,304.839,1.01782,0,1.023,,,-0.00517987
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_2-th Autocalled,298.142,1.76045,-0.00237941,1.046,,,0.00504526
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_6-th Autocalled,293.267,1.13829,0,1.138,,,0.000289742
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
1_6-th Autocalled,133.244,-0.00266217,0.00336451,0.448301,,,-0.00266217
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,308.679,1.02765,0,1.023,,,0.004649
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_3-th Autocalled,345.989,1.07814,0,1.069,,,0.00914411
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_2-th Autocalled,319.213,1.04412,0,1.046,,,-0.00188144
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_5-th Autocalled,279.06,1.12887,0,1.115,,,0.0138745
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_6-th Autocalled,246.46,1.12885,0,1.138,,,-0.00914755
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_2-th Autocalled,318.808,1.03823,0,1.046,,,-0.00777234
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_6-th Autocalled,206.177,1.12862,0,1.138,,,-0.00938495
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_5-th Autocalled,271.86,1.11314,0,1.115,,,-0.0018615
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,310.277,1.01837,0,1.023,,,-0.00462836
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,308.746,1.02479,0,1.023,,,0.00178617
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,307.962,1.02288,0,1.023,,,-0.000124111
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,363.722,1.02278,0,1.023,,,-0.000218395
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_3-th Autocalled,322.026,1.06891,0,1.069,,,-8.6202e-05
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_5-th Autocalled,267.557,2.43873,-0.00488893,1.115,,,0.0156623
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,305.866,1.02107,0,1.023,,,-0.00193058
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_6-th Autocalled,200.165,1.15444,0,1.138,,,0.0164361
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,331.616,1.02311,0,1.023,,,0.000114038
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,333.428,1.02321,0,1.023,,,0.000212962
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,314.161,1.02345,0,1.023,,,0.000448935
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,317.265,1.02266,0,1.023,,,-0.00034054
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_6-th Autocalled,227.344,1.14205,0,1.138,,,0.004054
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_5-th Autocalled,287.973,1.11912,0,1.115,,,0.00411972
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_6-th Autocalled,262.994,1.14511,0,1.138,,,0.00711405
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,304.548,1.02194,0,1.023,,,-0.00105712
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_3-th Autocalled,302.434,1.05845,0,1.069,,,-0.0105535
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,298.235,1.18794,-0.000548273,1.023,,,0.00142486
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_3-th Autocalled,286.781,1.06785,0,1.069,,,-0.00114833
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,314.437,1.02483,0,1.023,,,0.00182611
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_2-th Autocalled,321.561,1.0497,0,1.046,,,0.00369746
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_2-th Autocalled,299.793,1.05011,0,1.046,,,0.00410523
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
1_6-th Autocalled,159.303,0.0270448,0.00336451,0.535978,,,0.0270448
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_6-th Autocalled,224.421,1.13681,0,1.138,,,-0.00119016
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,319.605,1.02657,0,1.023,,,0.00357307
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,318.4,1.02088,0,1.023,,,-0.00211978
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_2-th Autocalled,359.663,1.04637,0,1.046,,,0.000365202
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,307.519,1.02167,0,1.023,,,-0.00132666
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,314.87,1.02591,0,1.023,,,0.00291477
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_2-th Autocalled,322.116,1.04559,0,1.046,,,-0.000413513
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,318.314,1.02367,0,1.023,,,0.000673809
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,321.509,1.02187,0,1.023,,,-0.00112919
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,324.479,1.02139,0,1.023,,,-0.00160799
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,327.3,1.02139,0,1.023,,,-0.00160599
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,302.325,1.02532,0,1.023,,,0.00232262
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_3-th Autocalled,330.902,1.06101,0,1.069,,,-0.00798977
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_6-th Autocalled,220.165,1.13795,0,1.138,,,-5.31697e-05
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,300.068,1.02219,0,1.023,,,-0.000809005
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,338.003,1.02208,0,1.023,,,-0.000922931
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,310.949,1.0203,0,1.023,,,-0.00270137
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,311.634,1.02085,0,1.023,,,-0.00215404
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,306.772,1.0222,0,1.023,,,-0.000801242
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,306.696,1.02351,0,1.023,,,0.000510455
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,318.036,1.02283,0,1.023,,,-0.000168466
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_6-th Autocalled,253.819,1.13744,0,1.138,,,-0.000562649
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,316.418,1.02407,0,1.023,,,0.00106939
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
1_6-th Autocalled,183.258,-0.0136082,0.00336451,0.616572,,,-0.0136082
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,308.937,1.02342,0,1.023,,,0.000423874
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_5-th Autocalled,269.316,2.43106,-0.00492105,1.115,,,-0.00925523
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
1_6-th Autocalled,128.928,-0.0104912,0.00336451,0.433781,,,-0.0104912
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,303.625,1.02203,0,1.023,,,-0.000971581
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,311.451,1.02299,0,1.023,,,-6.11012e-06
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,308.131,1.02331,0,1.023,,,0.000308981
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_2-th Autocalled,347.749,1.0453,0,1.046,,,-0.000704521
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_6-th Autocalled,252.582,1.12096,0,1.138,,,-0.0170436
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_3-th Autocalled,284.777,1.06221,0,1.069,,,-0.00678919
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_3-th Autocalled,310.988,1.06762,0,1.069,,,-0.00137957
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,320.294,1.02403,0,1.023,,,0.00103235
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
1_6-th Autocalled,175.003,-0.0480435,0.00336451,0.5888,,,-0.0480435
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
1_6-th Autocalled,177.529,-0.00101958,0.00336451,0.597297,,,-0.00101958
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,353.489,1.02327,0,1.023,,,0.000266802
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,308.569,1.0242,0,1.023,,,0.00120015
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_6-th Autocalled,232.884,1.15605,0,1.138,,,0.0180508
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_6-th Autocalled,211.116,1.14591,0,1.138,,,0.00791352
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_6-th Autocalled,215.534,1.155,0,1.138,,,0.0170028
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_4-th Autocalled,283.518,2.56117,-0.00516485,1.092,,,0.00484254
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,306.571,1.02583,0,1.023,,,0.002831
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_2-th Autocalled,328.133,1.04252,0,1.046,,,-0.00348
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,303.994,1.02145,0,1.023,,,-0.0015541
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_6-th Autocalled,247.261,1.14869,0,1.138,,,0.0106881
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,300.875,1.02831,0,1.023,,,0.00531305
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,331.04,1.02756,0,1.023,,,0.00455884
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,302.847,1.02596,0,1.023,,,0.002959
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_2-th Autocalled,300.978,1.04419,0,1.046,,,-0.00180706
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,321.975,1.01994,0,1.023,,,-0.00305624
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,350.843,1.02617,0,1.023,,,0.00316876
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_2-th Autocalled,309.343,1.04742,0,1.046,,,0.00141733
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_3-th Autocalled,337.541,1.074,0,1.069,,,0.00500144
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,320.057,1.02202,0,1.023,,,-0.000980666
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_4-th Autocalled,333.917,1.10681,0,1.092,,,0.0148117
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,317.007,1.02216,0,1.023,,,-0.000839158
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,335.387,1.02634,0,1.023,,,0.00334496
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_6-th Autocalled,218.125,1.102,0,1.138,,,-0.0360025
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_4-th Autocalled,287.068,1.09024,0,1.092,,,-0.00176187
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,304.436,1.02332,0,1.023,,,0.000324207
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
1_6-th Autocalled,164.052,-0.00983218,0.00336451,0.551954,,,-0.00983218
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_2-th Autocalled,336.189,1.04592,0,1.046,,,-7.90044e-05
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_2-th Autocalled,298.07,1.76238,-0.00237941,1.046,,,0.00715347
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_2-th Autocalled,320.539,1.04193,0,1.046,,,-0.00406727
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_5-th Autocalled,277.181,1.10865,0,1.115,,,-0.00635037
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,299.823,1.02582,0,1.023,,,0.00281791
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_6-th Autocalled,243.632,1.12362,0,1.138,,,-0.014377
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_6-th Autocalled,262.272,1.14859,0,1.138,,,0.0105857
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,310.798,1.02363,0,1.023,,,0.000628968
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,327.958,1.02264,0,1.023,,,-0.000361789
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_3-th Autocalled,303.791,1.06929,0,1.069,,,0.000289003
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
1_6-th Autocalled,141.506,0.00198508,0.00336451,0.476098,,,0.00198508
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,302.25,1.0218,0,1.023,,,-0.00120009
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_6-th Autocalled,252.885,1.11454,0,1.138,,,-0.0234625
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,315.815,1.02403,0,1.023,,,0.00103356
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_3-th Autocalled,311.087,1.06305,0,1.069,,,-0.00594595
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,340.428,1.0254,0,1.023,,,0.00239818
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,322.436,1.02206,0,1.023,,,-0.000938919
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_3-th Autocalled,294.329,1.06767,0,1.069,,,-0.00132765
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
1_6-th Autocalled,175.245,0.000118443,0.00336451,0.589614,,,0.000118443
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,299.597,1.02307,0,1.023,,,7.04015e-05
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_6-th Autocalled,193.868,1.25195,0,1.138,,,0.113949
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,304.125,1.02471,0,1.023,,,0.00171482
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_4-th Autocalled,306.799,1.08478,0,1.092,,,-0.00721567
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_5-th Autocalled,289.947,1.12521,0,1.115,,,0.0102084
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_2-th Autocalled,302.042,1.03962,0,1.046,,,-0.00638344
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
1_6-th Autocalled,176.968,-0.0370756,0.00336451,0.595411,,,-0.0370756
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,332.963,1.0257,0,1.023,,,0.00269732
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_2-th Autocalled,325.362,1.04649,0,1.046,,,0.000485989
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_6-th Autocalled,247.898,1.14648,0,1.138,,,0.00848344
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,336.993,1.02265,0,1.023,,,-0.00034703
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,300.389,1.02461,0,1.023,,,0.00161331
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,339.158,1.0223,0,1.023,,,-0.000702685
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,322.996,1.02215,0,1.023,,,-0.000851403
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,326.142,1.02187,0,1.023,,,-0.00113001
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,319.349,1.02375,0,1.023,,,0.00074793
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,308.603,1.02046,0,1.023,,,-0.00253669
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_6-th Autocalled,201.459,1.15507,0,1.138,,,0.0170706
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_3-th Autocalled,287.073,1.06916,0,1.069,,,0.00016087
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,301.826,1.032,0,1.023,,,0.00900212
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_6-th Autocalled,215.142,1.12425,0,1.138,,,-0.013748
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,306.088,1.0233,0,1.023,,,0.000296287
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,307.735,1.02141,0,1.023,,,-0.0015926
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_3-th Autocalled,283.252,1.95613,-0.00314982,1.069,,,-0.00506743
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,381.592,1.02495,0,1.023,,,0.00195145
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_4-th Autocalled,293.675,1.09104,0,1.092,,,-0.000958859
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,300.338,1.02343,0,1.023,,,0.000428112
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,339.254,1.02298,0,1.023,,,-1.9677e-05
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,342.405,1.02311,0,1.023,,,0.000113588
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
1_6-th Autocalled,189.508,0.00100387,0.00336451,0.637602,,,0.00100387
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_2-th Autocalled,318.797,1.04701,0,1.046,,,0.00101433
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_3-th Autocalled,328.472,1.05834,0,1.069,,,-0.0106604
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_5-th Autocalled,317.705,1.11294,0,1.115,,,-0.00206108
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_6-th Autocalled,304.654,1.13515,0,1.138,,,-0.0028543
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,311.383,1.02568,0,1.023,,,0.00267593
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,318.037,1.02206,0,1.023,,,-0.000935913
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,349.762,1.02329,0,1.023,,,0.000288609
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_2-th Autocalled,312.233,1.04696,0,1.046,,,0.000964309
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
1_6-th Autocalled,150.155,0.0044952,0.00336451,0.505199,,,0.0044952
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_6-th Autocalled,282.294,1.147,0,1.138,,,0.00899918
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_6-th Autocalled,216.464,1.12342,0,1.138,,,-0.0145768
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,304.002,1.02742,0,1.023,,,0.00442489
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,309.067,1.02527,0,1.023,,,0.00226597
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,349.092,1.02409,0,1.023,,,0.0010852
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,348.268,1.02336,0,1.023,,,0.000355734
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,297.814,1.0659,-0.00013436,1.023,,,0.00288419
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_6-th Autocalled,282.55,1.13291,0,1.138,,,-0.00508752
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_2-th Autocalled,303.94,1.04391,0,1.046,,,-0.002088
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_6-th Autocalled,241.084,1.15088,0,1.138,,,0.0128755
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,305.532,1.02014,0,1.023,,,-0.00285599
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,335.662,1.02236,0,1.023,,,-0.000641734
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
0_1-th Autocalled,331.676,1.02509,0,1.023,,,0.00208674
